answer,clue
GARIBALDI,'a loose high-necked blouse with long sleeves
QUISLING,'someone who collaborates with an enemy occupying force'
GRACILARIID,'small dull or metallic-colored tineoid moths whose larvae mine in plant leaves'
OLIGODACTYLY,'congenital condition in which some fingers or toes are missing'
ATONIA,'lack of normal muscular tension or tonus'
WAHOO,'large fast-moving predacious food and game fish
PROSECUTION,'the institution and conduct of legal proceedings against a defendant for criminal behavior'
PARLAY,'a series of wagers in which the winnings from one wager are used as a stake for the subsequent wagers'
BEREAVEMENT,'state of sorrow over the death or departure of a loved one'
PAMPERING,'the act of indulging or gratifying a desire'
ABSOLUTISM,'the doctrine of an absolute being'
BABE,"but when you have your own baby it is all so different""'"
PEPTISATION,'the process of converting to a sol
RECENCY,'a time immediately before the present'
STARVATION,'a state of extreme hunger resulting from lack of essential nutrients over a prolonged period'
HOCKEY,'a game resembling ice hockey that is played on an open field
PROCYCLIDINE,'drug (trade name Kemadrin) used to reduce tremors in Parkinsonism'
FETTUCCINE,'pasta in flat strips wider than linguine'
TURREAE,'any of numerous trees and shrubs grown for their beautiful glossy foliage and sweetly fragrant starry flowers'
FILLY,'a young female horse under the age of four'
LYRICIST,'a person who writes the words for songs'
CARBIDE,'a binary compound of carbon with a more electropositive element'
TOPHUS,'an incrustation that forms on the teeth and gums'
ADJECTIVE,'a word that expresses an attribute of something'
ECTODERM,'the outer germ layer that develops into skin and nervous tissue'
FIRESTONE,'a sandstone that withstands intense heat
HOOPOO,'any of several crested Old World birds with a slender downward-curved bill'
ANGIOCARP,'tree bearing fruit enclosed in a shell or involucre or husk'
FANATICISM,'excessive intolerance of opposing views'
PURSUAL,'the act of pursuing in an effort to overtake or capture
FOGEY,'someone whose style is out of fashion'
RELAXANT,'a drug that relaxes and relieves tension'
COYPU,'aquatic South American rodent resembling a small beaver
CREASHAK,'evergreen mat-forming shrub of North America and northern Eurasia having small white flowers and red berries
DRIVE,'the act of applying force to propel something
GAMETE,'a mature sexual reproductive cell having a single set of unpaired chromosomes'
GLOTTIS,'the vocal apparatus of the larynx
SUPPOSITORY,'a small plug of medication designed for insertion into the rectum or vagina where it melts'
SPIRIT,'the vital principle or animating force within living things'
COLONOSCOPY,'visual examination of the colon (with a colonoscope) from the cecum to the rectum
PLUGBOARD,'telephone central where circuits are completed with patchcords'
BUSBOY,'a restaurant attendant who sets tables and assists waiters and clears away dirty dishes'
CONDENSING,'the act of increasing the density of something'
ASCENDING,'the act of changing location in an upward direction'
MOLLYMAWK,'large web-footed birds of the southern hemisphere having long narrow wings
HEADFAST,'a mooring line that secures the bow of a boat or ship to a wharf'
MEALWORM,'the larva of beetles of the family Tenebrionidae'
ACETATE,'a salt or ester of acetic acid'
TURBIDITY,'muddiness created by stirring up sediment or having foreign particles suspended'
MULLION,'a nonstructural vertical strip between the casements or panes of a window (or the panels of a screen)'
AUTOBUS,'a vehicle carrying many passengers
MINELAYING,'laying explosive mines in concealed places to destroy enemy personnel and equipment'
PEPTONE,'any of various water-soluble compounds that form by hydrolysis in the digestion of proteins to amino acids'
STYLUS,'a pointed tool for writing or drawing or engraving
PAEONY,'any of numerous plants widely cultivated for their showy single or double red or pink or white flowers'
LATTEN,'brass (or a yellow alloy resembling brass) that was hammered into thin sheets
COAUTHOR,'a writer who collaborates with others in writing something'
FIELDER,'a member of the baseball team that is in the field instead of at bat'
REPULSION,'the force by which bodies repel one another'
MILITARY,'the military forces of a nation
RUNUP,'a substantial increase over a relatively short period of time
PILEUS,'a fruiting structure resembling an umbrella or a cone that forms the top of a stalked fleshy fungus such as a mushroom'
AMERICIUM,'a radioactive transuranic metallic element
INKINESS,'the quality or state of the achromatic color of least lightness (bearing the least resemblance to white)'
FISSIPARITY,as in the case of some starfish'
PLAYING,'the act of playing a musical instrument'
ARRESTER,'a restraint that slows airplanes as they land on the flight deck of an aircraft carrier'
SHEARS,'large scissors with strong blades'
LEXICOGRAPHY,'the act of writing dictionaries'
SISHAM,'East Indian tree whose leaves are used for fodder
VITALISM,'(philosophy) a doctrine that life is a vital principle distinct from physics and chemistry'
PENNI,'100 pennia formerly equaled 1 markka in Finland'
EXOCRINE,'a gland that secretes externally through a duct'
MUSHER,'a traveler who drives (or travels with) a dog team'
PONCE,'a man who is effeminate in his manner and fussy in the way he dresses'
PHORONID,'hermaphrodite wormlike animal living in mud of the sea bottom'
SOLITARINESS,'a disposition toward being alone'
AVENS,'any of various perennials of the genus Geum having usually pinnate basal leaves and variously colored flowers'
UPHOLDER,'someone who upholds or maintains
REFLATION,'inflation of currency after a period of deflation
DREADLOCK,'one of many long thin braids of hair radiating from the scalp
BARRELFISH,'blackish fish of New England waters'
SUDATORIUM,'a bathhouse for hot air baths or steam baths'
SOCIETY,'an extended social group having a distinctive cultural and economic organization'
YAWS,'an infectious tropical disease resembling syphilis in its early stages
CENTERLINE,'a line that bisects a plane figure'
BURGESS,'a citizen of an English borough'
DOXYCYCLINE,'an antibiotic derived from tetracycline that is effective against many infections
HERBAL,'tea-like drink made of leaves of various herbs'
KLEBSIELLA,'a genus of nonmotile rod-shaped Gram-negative enterobacteria
SALVINORIN,'a hallucinogen obtained from Salvia divinorum'
HALO,'an indication of radiant light drawn around the head of a saint'
BUTTONHOOK,'a hook for pulling a button through a buttonhole'
FABRIC,'artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers
MEDICATION,'(medicine) something that treats or prevents or alleviates the symptoms of disease'
HOOLIGANISM,'willful wanton and malicious destruction of the property of others'
HOSPITAL,'a health facility where patients receive treatment'
COMIC,'a professional performer who tells jokes and performs comical acts'
SOLAN,'very large white gannet with black wing tips'
ALLIGATOR,'leather made from alligator\'s hide'
BASOPHIL,'a leukocyte with basophilic granules easily stained by basic stains'
NEOPHYTE,'any new participant in some activity'
PIQUET,'a card game for two players using a reduced pack of 32 cards'
AUDIOVISUAL,'materials using sight or sound to present information
ROMANTICIST,'someone who indulges in excessive sentimentality'
PEARLITE,'a lamellar mixture of cementite and ferrite formed during the cooling of austenite
CATHOLICITY,'the quality of being universal
JABOTICABA,'tough-skinned purple grapelike tropical fruit grown in Brazil'
HAYFIELD,'a field where grass or alfalfa are grown to be made into hay'
YEN,'a yearning for something or to do something'
GREATNESS,'the property possessed by something or someone of outstanding importance or eminence'
LOITERER,'someone who lingers aimlessly in or about a place'
RUGBY,'a form of football played with an oval ball'
FUMITORY,'delicate European herb with greyish leaves and spikes of purplish flowers
ACE,'the smallest whole number or a numeral representing this number
GNOSIS,'intuitive knowledge of spiritual truths
RUMORMONGER,'a person given to gossiping and divulging personal information about others'
ENORMOUSNESS,'unusual largeness in size or extent or number'
ANAPHOR,'a word (such as a pronoun) used to avoid repetition
INQUISITOR,'a questioner who is excessively harsh'
ALTERATION,'an event that occurs when something passes from one state or phase to another
NOMA,'acute ulceration of the mucous membranes of the mouth or genitals
SPIRAEA,'any rosaceous plant of the genus Spiraea
CREDENZA,'a kind of sideboard or buffet'
MASSIF,'a block of the earth\'s crust bounded by faults and shifted to form peaks of a mountain range'
POLYNOMIAL,'a mathematical function that is the sum of a number of terms'
ESOTROPIA,'strabismus in which one or both eyes turn inward toward the nose'
GADGETEER,'a person who delights in designing or building or using gadgets'
CERAMICS,'the art of making and decorating pottery'
VIREO,'any of various small insectivorous American birds chiefly olive-grey in color'
THURIFER,'an acolyte who carries a thurible'
SANDAL,'a shoe consisting of a sole fastened by straps to the foot'
AEGIR,'a high wave (often dangerous) caused by tidal flow (as by colliding tidal currents or in a narrow estuary)'
SILICLE,'short broad silique occurring in some cruciferous plants'
GIZMO,'a device or control that is very useful for a particular job'
MEERKAT,'a mongoose-like viverrine of South Africa having a face like a lemur and only four toes'
NASAL,'a consonant produced through the nose with the mouth closed'
BOSON,'any particle that obeys Bose-Einstein statistics but not the Pauli exclusion principle
CONCAVITY,'a shape that curves or bends inward'
SEMASIOLOGY,'the branch of semantics that studies the cognitive aspects of meaning'
MONOTYPE,'a typesetting machine operated from a keyboard that sets separate characters'
HYPNOTHERAPY,'the use of hypnosis in psychotherapy'
HOLLYHOCK,'any of various plants of the genus Althaea
BALANITIS,'inflammation of the head of the penis'
PENTAMETER,'a verse line having five metrical feet'
BAGFUL,'the quantity that a bag will hold
CELTUCE,'leaves having celery-like stems eaten raw or cooked'
BALLISTA,'an engine that provided medieval artillery used during sieges
PHILOLOGY,'the humanistic study of language and literature'
COMMELINA,'any plant of the genus Commelina'
TEQUILA,'Mexican liquor made from fermented juices of an agave plant'
SEQUENCER,'computer hardware that sorts data or programs into a predetermined sequence'
RENDITION,'an explanation of something that is not immediately obvious
PALLOR,'unnatural lack of color in the skin (as from bruising or sickness or emotional distress)'
AECIUM,'fruiting body of some rust fungi bearing chains of aeciospores'
CORNELIAN,'a translucent red or orange variety of chalcedony'
ICEBREAKER,'a beginning that relaxes a tense or formal atmosphere
CARPENTERIA,'California evergreen shrub having glossy opposite leaves and terminal clusters of a few fragrant white flowers'
CORONILLA,'any of various plants of the genus Coronilla having purple or pink or yellow flowers in long axillary heads or umbels'
FLAMMABILITY,'the quality of being easily ignited and burning rapidly'
SABICU,'the wood of the sabicu which resembles mahogany'
METALWORKING,'the activity of making things out of metal in a skillful manner'
DEFENDER,'a person who cares for persons or property'
AORTA,'the large trunk artery that carries blood from the left ventricle of the heart to branch arteries'
CRANBERRY,'very tart red berry used for sauce or juice'
CHUNKING,'(psychology) the configuration of smaller units of information into large coordinated units'
ACCOUNT,'a record or narrative description of past events
DIGEST,'a periodical that summarizes the news'
CAMAS,'any of several plants of the genus Camassia
ICONOSCOPE,'the first practical television-camera for picture pickup
REVEREND,'a member of the clergy and a spiritual leader of the Christian Church'
COUNTENANCE,'the appearance conveyed by a person\'s face
TIMPANIST,'a person who plays the kettledrums'
ABORIGINE,'an indigenous person who was born in a particular place
OBLIGATO,'a persistent but subordinate motif'
POULETTE,'allemande sauce with chopped parsley'
HOMOPHOBE,'a person who hates or fears homosexual people'
MIRROR,'polished surface that forms images by reflecting light'
ALARMIST,'a person who alarms others needlessly'
MEASUREMENT,'the act or process of assigning numbers to phenomena according to a rule
PAPERER,'one whose occupation is decorating walls with wallpaper'
VICTOR,'a combatant who is able to defeat rivals'
BUILDER,'a substance added to soaps or detergents to increase their cleansing action'
MUTILATION,'an injury that causes disfigurement or that deprives you of a limb or other important body part'
GLACIATION,'the condition of being covered with glaciers or masses of ice
JUNTO,'a clique (often secret) that seeks power usually through intrigue'
BLOWFISH,'delicacy that is highly dangerous because of a potent nerve poison in ovaries and liver'
MONAZITE,'a reddish-brown mineral containing rare earth metals
HOMOEOPATHY,produce symptoms similar to those being treated'
SERVICING,'the act of mating by male animals
BIDET,'a basin for washing genitals and anal area'
ADERMIN,'a B vitamin that is essential for metabolism of amino acids and starch'
HYPERACUSIS,'abnormal acuteness of hearing due to increased irritability of the sensory neural mechanism
JAVELIN,'a spear thrown as a weapon or in competitive field events'
SATURNISM,'toxic condition produced by the absorption of excessive lead into the system'
MATER,'an informal use of the Latin word for mother
REHEARSAL,'a practice session in preparation for a public performance (as of a play or speech or concert)
DUSTER,'a piece of cloth used for dusting'
MALEBERRY,'deciduous much-branched shrub with dense downy panicles of small bell-shaped white flowers'
MACKEREL,'any of various fishes of the family Scombridae'
PENULTIMATE,'the next to last syllable in a word'
TULIP,'any of numerous perennial bulbous herbs having linear or broadly lanceolate leaves and usually a single showy flower'
LINER,'(baseball) a hit that flies straight out from the batter
DEMANTOID,'a green andradite used as a gemstone'
DOMESTIC,'a servant who is paid to perform menial tasks around the household'
PEA,'seed of a pea plant used for food'
SAVELOY,'a ready-cooked and highly seasoned pork sausage'
ADORATION,'the act of admiring strongly'
NUNNERY,'the convent of a community of nuns'
THEOGONY,'the study of the origins and genealogy of the gods'
REDRESS,'a sum of money paid in compensation for loss or injury'
EPIDEMIOLOGY,'the branch of medical science dealing with the transmission and control of disease'
HARBOURAGE,'(nautical) a place of refuge (as for a ship)'
STAYSAIL,'a fore-and-aft sail set on a stay (as between two masts)'
EGGER,'moth having nonfunctional mouthparts as adults
REFUTATION,'the act of determining that something is false'
EXPELLING,'any of several bodily processes by which substances go out of the body
URANYL,'the bivalent radical UO2 which forms salts with acids'
WOODCARVING,'a carving created by carving wood'
PULLOVER,'a sweater that is put on by pulling it over the head'
ACCURACY,'the quality of being near to the true value
ROUTINE,'an unvarying or habitual method or procedure'
SUPERMODEL,'a fashion model who has attained the status of a celebrity'
POLICY,'a plan of action adopted by an individual or social group
