answer,clue
CAROUSER,'someone who enjoys riotous drinking'
ABDOMINAL,'the muscles of the abdomen'
POPINJAY,'an archaic term for a parrot'
WARPATH,'hostile or belligerent mood
CALLITHUMP,'a noisy boisterous parade'
CONTAMINANT,'a substance that contaminates'
YOBBO,'a cruel and brutal fellow'
GOLDENEYE,'a variety of green lacewing'
RESINOID,'a plastic containing resins'
SLOWCOACH,'someone who moves slowly
MADRILENE,'a tomato-flavored consomme
VISCOMETRY,'the measurement of viscosity'
CROPPER,'small farmers and tenants'
NORMALIZER,'a person who normalizes'
FORTIES,'the time of life between 40 and 50'
CUPOLA,'a roof in the form of a dome'
SENSUALISM,'desire for sensual pleasures'
HUMILITY,'a disposition to be humble
FRETFULNESS,'an irritable petulant feeling'
OUSEL,'common black European thrush'
DYSLEXIC,'a person who has dyslexia'
GENUS,'a general kind of something
BLADDER,'a bag that fills with air'
STEERAGE,'the act of steering a ship'
SHADOW,'shade within clear boundaries'
VAGABONDAGE,'travelling about without any clear destination
DEPRECIATION,'a decrease in price or value
OBJURGATION,'rebuking a person harshly'
MONOPLEGIA,'paralysis of a single limb'
BILIMBI,'East Indian evergreen tree bearing very acid fruit'
BOYSENBERRY,'large raspberry-flavored fruit
HYPOPNEA,'slow or shallow breathing'
LOATHER,'one who hates or loathes'
ENDOGEN,'a monocotyledonous flowering plant
PARODY,usually in a humorous way'
BEAU,"Pet could finally married his long-time boyfriend Jim""'"
DAGGA,'relatively nontoxic South African herb smoked like tobacco'
TRUCULENCE,'obstreperous and defiant aggressiveness'
RETREATED,'people who have retreated
COPROLITH,'a hard mass of fecal matter'
LIVELINESS,'general activity and motion'
PHYSICIAN,'a licensed medical practitioner
PLYER,'someone who plies a trade'
DEMANDER,'a person who makes demands'
SHARECROPPER,'small farmers and tenants'
EGALITY,'social and political equality
STALKER,'someone who stalks game'
PROPELLANT,'any substance that propels'
MANSION,'a large and imposing house'
CLOMIPRAMINE,'a tricyclic antidepressant drug'
GIVER,'someone who devotes himself completely
AFFAIRS,'matters of personal concern
DUPLICATOR,written or drawn material'
CINNAMENE,'a colorless oily liquid
RECORDER,'equipment for making records'
TRIVIA,'something of small importance'
GRAVIDITY,'technical terms for pregnancy'
PRODUCT,'commodities offered for sale
AEROGRAM,'a letter sent by air mail'
CAYUSE,'a small native range horse'
BILLYO,'an unimaginably large amount
WHEELER,'a person who rides a bicycle'
SERVILITY,'abject or cringing submissiveness'
CRAWDAD,'tiny lobster-like crustaceans usually boiled briefly'
DUET,'two items of the same kind'
SHOESHINE,'the act of shining shoes
BULLION,'a mass of precious metal'
GENITIVE,'the case expressing ownership'
OFFER,'the verbal act of offering
HAO,'10 hao equal 1 dong in Vietnam'
DEVILRY,'wicked and cruel behavior'
CRAFTINESS,'the quality of being crafty'
ANNULET,'molding in the form of a ring
BROMIDE,'a trite or obvious remark'
BASINET,'a medieval steel helmet'
SLUMBERER,'a rester who is sleeping'
ZORIL,'muishond of northern Africa'
