answer,clue
NETMAIL,'communicate electronically on the computer
BRACHIATE,'swing from one hold to the next
BRAVO,'applaud with shouts of `bravo\' or `brava\''
OVERSEW,'sew (two edges) with close stitches that pass over them both'
SKYJACK,'subject an aircraft to air piracy
UNDERSIGN,'sign at the bottom of (a document)'
AUTHORISE,'grant authorization or clearance for
FAMILIARISE,'make familiar or conversant with
SAIL,'traverse or travel on (a body of water)
STOCKADE,'surround with a stockade in order to fortify'
FISSURE,'break into fissures or fine cracks'
DISESTABLISH,'deprive (an established church) of its status'
FEUDALIZE,'bring (a country or people) under feudalism'
REASSERT,'strengthen or make more firm
PRIME,or charge) preparatory to detonation or firing
CUCKOO,like a cuckoo repeats his call'
OVERHEAR,usually without the knowledge of the speakers
RINSE,'wash off soap or remaining dirt'
PRESUME,'take to be the case or to be true
BELLOW,'shout loudly and without restraint'
NERVE,'get ready for something difficult or unpleasant'
PLURALISE,'mark with a grammatical morpheme that indicates plural
SOLVE,'find the solution to (a problem or question) or understand the meaning of
DECOKE,'remove carbon from (an engine)'
EXPUNGE,'remove by erasing or crossing out or as if by drawing a line
LOWER,'move something or somebody to a lower position
APPERCEIVE,'perceive in terms of a past experience'
CACHINNATE,'laugh loudly and in an unrestrained way'
BORDER,'extend on all sides of simultaneously
RELATIVIZE,'consider or treat as relative'
COOPERATE,'work together on a common enterprise of project
WHIRLIGIG,'whirl or spin like a whirligig'
DISINFECT,'destroy microorganisms or pathogens by cleansing
COMMUNIZE,'make Communist or bring in accord with Communist principles
MISGAUGE,'gauge something incorrectly or improperly'
DOMICILE,'make one\'s home in a particular place or community
FATIGUE,'lose interest or become bored with something or somebody
COMPERE,'act as a master of ceremonies'
THEOLOGIZE,'treat from a theological viewpoint or render theological in character'
EXAGGERATE,'to enlarge beyond bounds or the truth
RECONCILE,'bring into consonance or accord
HYBRIDIZE,'breed animals or plants using parents of different races and varieties
IMITATE,'reproduce someone\'s behavior or looks
RIDE,usually while controlling its motions
PROBATE,'establish the legal validity of (wills and other documents)'
CONDOLE,on the occasion of someone\'s death
DUEL,"men often dueled over small matters""'"
ADAPT,or change to suit a new purpose
MITIGATE,'lessen or to try to lessen the seriousness or extent of
FORECLOSE,'keep from happening or arising
DESEX,"people with genetically transmissible disabilites are sterilized""'"
RAFTER,'provide (a ceiling) with rafters'
OUTMANOEUVRE,'defeat by more skillful maneuvering
FINISH,'come or bring to a finish or an end
MARGINALISE,as of specific groups of people
BANQUET,'partake in a feast or banquet'
TATTOO,'stain (skin) with indelible color'
APPAL,'fill with apprehension or alarm
MOTION,express or direct through movement
HORRIFY,'fill with apprehension or alarm
OUTRAGE,'strike with disgust or revulsion
GIBBET,'hang on an execution instrument'
COVER,'provide with a covering or cause to be covered
REDRESS,'make reparations or amends for
FACTORISE,'resolve (a polynomial) into factors'
SLANDER,'charge falsely or with malicious intent
RELEGATE,'refer to another person for decision or judgment
IMPEND,'be imminent or about to happen
DEFERVESCE,'experience an abatement of a fever'
PANTOMIME,'act out without words but with gestures and bodily movements only
TENDER,'offer or present for acceptance'
DISTILL,'undergo the process of distillation'
UNDERLINE,'give extra weight to (a communication)
AIM,or objects such as photographic equipment) towards
COMMUNALISE,'make something the property of the commune or community'
DISBAND,'stop functioning or cohering as a unit
DIAGNOSE,'determine or distinguish the nature of a problem or an illness through a diagnostic analysis'
INITIALISE,'assign an initial value to a computer program'
PIONEER,'open up an area or prepare a way
REFRACTURE,'break (a bone) that was previously broken but mended in an abnormal way
IRRIGATE,as with channels or ditches or streams
KIBBITZ,'make unwanted and intrusive comments'
ERASE,'remove from memory or existence
CANNULATE,'introduce a cannula or tube into
